ts,interval,angle,angular_velocity,cart_friction,cart_x,cart_velocity,impulse,input_left,input_right
1687224148.2233589,0.0020833333333333333,0.08164038679273879,-1.4320992048688685,0.0,1.2970089484067557,10.487390487682045,0.0,False,False
1687224148.240644,0.0020833333333333333,0.07864498822653754,-1.4377913117765995,0.0,1.3188576785894384,10.529936719983006,0.0,False,False
1687224148.2574112,0.0020833333333333333,0.07563816567558225,-1.443274824458538,0.0,1.3407950467560568,10.570887527174577,0.0,False,False
1687224148.2748256,0.0020833333333333333,0.0726203554910669,-1.4485488885673647,0.0,1.3628177291043357,10.610233424815357,0.0,False,False
1687224148.2903,0.0020833333333333333,0.06959199573699441,-1.4536126819547968,0.0,1.3849223820726593,10.647965266554953,0.0,False,False
1687224148.3080845,0.0020833333333333333,0.06655352612267544,-1.4584654148731069,0.0,1.4071056430447015,10.684074250153666,0.0,False,False
1687224148.3243046,0.0020833333333333333,0.06350538793481769,-1.4631063301717195,0.0,1.4293641310658813,10.718551923305693,0.0,False,False
1687224148.341208,0.0020833333333333333,0.06044802396922567,-1.4675347034841713,0.0,1.4516944475727769,10.751390189258416,0.0,False,False
1687224148.3573194,0.0020833333333333333,0.05738187846212372,-1.471749843408936,0.0,1.4740931771336818,10.782581312220614,0.0,False,False
1687224148.3752482,0.0020833333333333333,0.05430739702112171,-1.4757510916809646,0.0,1.4965568882007574,10.812117922552657,0.0,False,False
1687224148.3908343,0.0020833333333333333,0.05122502655583761,-1.4795378233363665,0.0,1.5190821338727574,10.839993021731999,0.0,False,False
1687224148.407548,0.0020833333333333333,0.04813521520819677,-1.4831094468676054,0.0,1.541665452667985,10.866199987087585,0.0,False,False
1687224148.4255311,0.0020833333333333333,0.045038412282420136,-1.4864654043727832,0.0,1.5643033693077086,10.890732576297045,0.0,False,False
1687224148.4415677,0.0020833333333333333,0.041935068174724435,-1.4896051716939362,0.0,1.5869923955083323,10.91358493164087,0.0,False,False
1687224148.457809,0.0020833333333333333,0.038825634302748296,-1.4925282585485466,0.0,1.609729030782546,10.934751584008037,0.0,False,False
1687224148.4751132,0.0020833333333333333,0.035710563034722476,-1.495234208652394,0.0,1.6325097632492316,10.954227456647871,0.0,False,False
1687224148.4919431,0.0020833333333333333,0.03259030761840474,-1.4977225998325117,0.0,1.6553310704505293,10.972007868663269,0.0,False,False
1687224148.5082784,0.0020833333333333333,0.029465322109792774,-1.499993044133745,0.0,1.6781894201768637,10.988088538240733,0.0,False,False
1687224148.5248203,0.0020833333333333333,0.026336061301639218,-1.5020451879137071,0.0,1.7010812712982215,11.00246558561299,0.0,False,False
1687224148.542166,0.0020833333333333333,0.02320298065178293,-1.5038787119310177,0.0,1.724003074601569,11.015135535750304,0.0,False,False
1687224148.558913,0.0020833333333333333,0.02006653621131498,-1.5054933314246173,0.0,1.7469512736344086,11.026095320776996,0.0,False,False
1687224148.5750494,0.0020833333333333333,0.016927184552604065,-1.506888796181239,0.0,1.7699223055526545,11.03534228210998,0.0,False,False
1687224148.5918064,0.0020833333333333333,0.013785382697190447,-1.5080648905985368,0.0,1.7929126019737396,11.042874172316491,0.0,False,False
1687224148.6087337,0.0020833333333333333,0.010641588043577453,-1.509021433734237,0.0,1.8159185898326768,11.048689156688635,0.0,False,False
1687224148.6248436,0.0020833333333333333,0.007496258294930292,-1.509758279350637,0.0,1.8389366922424415,11.052785814532607,0.0,False,False
1687224148.6426682,0.0020833333333333333,0.004349851386710481,-1.5102753159455093,0.0,1.8619633293560582,11.05516314017096,0.0,False,False
1687224148.6587443,0.0020833333333333333,0.0012028254142561249,-1.510572466778091,0.0,1.884994919231417,11.055820543656559,0.0,False,False
1687224148.6762373,0.0020833333333333333,-0.0019443614396658774,-1.5106496898825612,0.0,1.9080278786973395,11.05475785119733,0.0,False,False
1687224148.6923018,0.0020833333333333333,-0.005091250977321556,-1.5105069780747256,0.0,1.9310586242206682,11.051975305291203,0.0,False,False
1687224148.7088878,0.0020833333333333333,-0.008237385058461723,-1.5101443589472805,0.0,1.9540835727733565,11.047473564571137,0.0,False,False
1687224148.7259135,0.0020833333333333333,-0.011382305672749308,-1.509561894858041,0.0,1.9770991426995579,11.041253703360363,0.0,False,False
1687224148.7425497,0.0020833333333333333,-0.014525555012140241,-1.5087596829076477,0.0,2.0001017545815785,11.033317210938534,0.0,False,False
1687224148.7602963,0.0020833333333333333,-0.01766667554319897,-1.5077378549081908,0.0,2.023087832104352,11.023665990519653,0.0,False,False
1687224148.7760413,0.0020833333333333333,-0.02080521007933165,-1.5064965773436856,0.0,2.0460538029179816,11.012302357943224,0.0,False,False
1687224148.792821,0.0020833333333333333,-0.02394070185291445,-1.5050360513197436,0.0,2.068996099496985,10.999229040080316,0.0,False,False
1687224148.811273,0.0020833333333333333,-0.027072694587302413,-1.5033565125062227,0.0,2.091911159997153,10.984449172956634,0.0,False,False
1687224148.826321,0.0020833333333333333,-0.030200732568696556,-1.5014582310691889,0.0,2.1147954291075166,10.96796629959509,0.0,False,False
1687224148.843082,0.0020833333333333333,-0.033324360717852365,-1.4993415115947883,0.0,2.1376453588983395,10.949784367580726,0.0,False,False
1687224148.8603325,0.0020833333333333333,-0.036443124661611835,-1.4970066930045456,0.0,2.1604574096641045,10.929907726351177,0.0,False,False
1687224148.877284,0.0020833333333333333,-0.03955657080423852,-1.4944541484608098,0.0,2.183228050760704,10.908341124216221,0.0,False,False
1687224148.893079,0.0020833333333333333,-0.04266424639853836,-1.4916842852639212,0.0,2.205953761436149,10.885089705110369,0.0,False,False
1687224148.910629,0.0020833333333333333,-0.04576569961675043,-1.4886975447417938,0.0,2.2286310316551408,10.860159005082673,0.0,False,False
1687224148.927018,0.0020833333333333333,-0.048860479621185365,-1.4854944021287697,0.0,2.251256362915683,10.833554948528413,0.0,False,False
1687224148.9435065,0.0020833333333333333,-0.0519481366345996,-1.482075366438833,0.0,2.273826269058418,10.805283844167532,0.0,False,False
1687224148.9608686,0.0020833333333333333,-0.05502822201028195,-1.4784409803275278,0.0,2.296337277067096,10.775352380775066,0.0,False,False
1687224148.9777026,0.0020833333333333333,-0.058100288301838714,-1.4745918199472463,0.0,2.3187859278604037,10.743767622669111,0.0,False,False
1687224148.9939816,0.0020833333333333333,-0.06116388933266128,-1.4705284947948316,0.0,2.3411687770742446,10.710537004962164,0.0,False,False
1687224149.010567,0.0020833333333333333,-0.06421858026505835,-1.4662516475505927,0.0,2.3634823958345805,10.675668328582006,0.0,False,False
