ts,interval,angle,angular_velocity,cart_friction,cart_x,cart_velocity,input_left,input_right
1686683026.9234633,0.016666666666666666,-2.2066323174028044,1.4018728518231454,0.0,2.1760118806840865,-10.909856010656274,False,False
1686683026.9413936,0.016666666666666666,-0.7846181421780414,1.422014175224763,0.0,1.994180947173163,-10.969693707446508,False,False
1686683026.9581041,0.016666666666666666,0.644323075788564,1.4289412179666052,0.0,1.8113527187157388,-10.920527935475898,False,False
1686683026.9748492,0.016666666666666666,2.066927444120295,1.422604368331731,0.0,1.629343919791154,-10.763044204970624,False,False
1686683026.9920428,0.016666666666666666,3.4700129524525467,1.4030855083322518,0.0,1.449959849708307,-10.499578720105932,False,False
1686683027.0087798,0.016666666666666666,4.84060831860817,1.370595366155623,0.0,1.274966871039851,-10.134020440355002,False,False
1686683027.0261335,0.016666666666666666,6.166077367230203,1.3254690486220335,0.0,1.1060665303672295,-9.671649989926827,False,False
1686683027.0434096,0.016666666666666666,7.434237382668309,1.2681600154381059,0.0,0.9448723638683987,-9.118928433873533,False,False
1686683027.060434,0.016666666666666666,8.63347018814204,1.1992328054737307,0.0,0.7928902233038571,-8.48325248964014,False,False
1686683027.0771427,0.016666666666666666,9.752825034939397,1.119354846797357,0.0,0.6515026818098022,-7.772694651695162,False,False
1686683027.0938685,0.016666666666666666,10.78211271144974,1.029287676510343,0.0,0.5219577709482337,-6.9957468920469985,False,False
1686683027.111962,0.016666666666666666,11.711990577487166,0.9298778660374261,0.0,0.40536198941413204,-6.161085170871524,False,False
1686683027.1291225,0.016666666666666666,12.534038474682497,0.8220478971953309,0.0,0.3026772365662964,-5.2773692125602265,False,False
1686683027.1460328,0.016666666666666666,13.240825644955896,0.7067871702733992,0.0,0.21472108302361903,-4.353088235416527,False,False
1686683027.1641533,0.016666666666666666,13.825968899273084,0.5851432543171882,0.0,0.14216961243334936,-3.3964589707826884,False,False
1686683027.182128,0.016666666666666666,14.284182317750231,0.4582134184771469,0.0,0.08556196292033746,-2.4153777621981862,False,False
1686683027.1998024,0.016666666666666666,14.611318735351414,0.3271364176011833,0.0,0.045305666883677986,-1.417424143340951,False,False
1686683027.2169454,0.016666666666666666,14.804403185413575,0.19308445006216068,0.0,0.021681931161310786,-0.409909335216104,False,False
1686683027.2350986,0.016666666666666666,14.861658350118992,0.05725516470541692,0.0,0.014850108907694448,0.6000402108103025,False,False
1686683027.2528198,0.016666666666666666,14.782521919232668,-0.07913643088632405,0.0,0.024850779087842056,1.6053766175985718,False,False
1686683027.2707684,0.016666666666666666,14.567655603506344,-0.21486631572632398,0.0,0.05160705604782834,2.599015752735009,False,False
1686683027.2883735,0.016666666666666666,14.21894540480728,-0.34871019869906306,0.0,0.09492398526003853,3.5737284461192287,False,False
1686683027.3067605,0.016666666666666666,13.739492628105836,-0.4794527767014447,0.0,0.1544861260287007,4.522052096759309,False,False
1686683027.3247828,0.016666666666666666,13.133595046090575,-0.6058975820152614,0.0,0.22985366097464066,5.436235656786681,False,False
1686683027.342987,0.016666666666666666,12.406717607955336,-0.7268774381352383,0.0,0.3204575885877148,6.308228634311384,False,False
1686683027.3611336,0.016666666666666666,11.565452129017876,-0.8412654789374603,0.0,0.4255947324928684,7.129721492616987,False,False
1686683027.3785887,0.016666666666666666,10.617465512282964,-0.9479866167349122,0.0,0.5444234240364949,7.892240786171786,False,False
1686683027.3967927,0.016666666666666666,9.571436236932293,-1.046029275350671,0.0,0.6759607704726704,8.58729779416897,False,False
1686683027.4154341,0.016666666666666666,8.436979096615293,-1.134457140317,0.0,0.8190824003754642,9.206584610213788,False,False
1686683027.432941,0.016666666666666666,7.224558471230918,-1.2124206253843743,0.0,0.9725254772123435,9.742207021937745,False,False
1686683027.451416,0.016666666666666666,5.945390753050654,-1.2791677181802648,0.0,1.1348955942446537,10.186939515120837,False,False
1686683027.4686587,0.016666666666666666,4.611336900273893,-1.3340538527767603,0.0,1.304677919496612,10.534484811574131,False,False
1686683027.4862816,0.016666666666666666,3.2347864339163763,-1.376550466357517,0.0,1.4802526663561366,10.779718884786584,False,False
1686683027.5030234,0.016666666666666666,1.8285345015896026,-1.4062519323267737,0.0,1.6599146477692557,10.918902651771447,False,False
1686683027.5198853,0.016666666666666666,0.4056538797774292,-1.4228806218121735,0.0,1.8418963586320842,10.94984359239438,False,False
1686683027.5374312,0.016666666666666666,-1.0206360458946053,-1.4262899256720345,0.0,2.024393751838602,10.871994265647723,False,False
1686683027.5541713,0.016666666666666666,-2.437101209384997,-1.4164651634903918,0.0,2.2055936562660463,10.686479732743488,False,False
1686683027.5709002,0.016666666666666666,-3.8306236158438285,-1.3935224064588314,0.0,2.383701651811748,10.396051743844724,False,False
1686683027.5875874,0.016666666666666666,-5.188328954267343,-1.3577053384235143,0.0,2.5569691808758535,10.004973578600211,False,False
1686683027.604934,0.016666666666666666,-6.497709319121871,-1.309380364854528,0.0,2.723718740519189,9.518845012406308,False,False
1686683027.6216712,0.016666666666666666,-7.746739564667534,-1.2490302455456632,0.0,2.882366157392653,8.944381443218647,False,False
1686683027.638439,0.016666666666666666,-8.923986132866299,-1.1772465681987647,0.0,3.0314391814463306,8.289164334961262,False,False
1686683027.6568878,0.016666666666666666,-10.018707527108804,-1.0947213942425051,0.0,3.169591920362336,7.561381580866513,False,False
1686683027.6907132,0.016666666666666666,-11.020945922878473,-1.0022383957696697,0.0,3.2956149467100886,6.769576134097176,False,False
1686683027.707572,0.016666666666666666,-11.921609689380581,-0.9006637665021078,0.0,3.408441215611674,5.92241944762264,False,False
1686683027.7243097,0.016666666666666666,-12.712546824760317,-0.7909371353797354,0.0,3.507148206405418,5.028523203737283,False,False
1686683027.7416906,0.016666666666666666,-13.386609469878001,-0.6740626451176848,0.0,3.5909569264676975,4.096298871962839,False,False
